date	Action	Animation	Aventure	Biopic	Comedie	Crime	Drame	Familliale	Fantastique	Horreur	Mystere	Romantique	Science-Fiction	Thriller	History	Guerre	Musical	Sport	Music	Western
19940101	38.64	45	45	3	15.39	23.92	29.42	33.5	26	58.33	45	36.19	35.6	37.5	0	0	0	0	0	0
19950101	59.6	42.5	67.5	62	25.6	45.55	37.73	50	54.5	0	37.33	12	69.8	49.17	62	0	0	0	0	0
19960101	57.87	90	64.3	41.5	44.08	40.7	48.9	71.33	14	25.2	53.67	31.67	60	46.54	55	27	20	27	0	0
19970101	72.52	69	64.9	35	38.94	62.53	51.25	28.8	51.5	32.5	45.56	82.71	77.4	47.82	36	0	0	0	25	0
19980101	66.07	66.67	69.8	25	38.68	44.5	51.72	56.17	67.17	52.5	52	40.33	81.43	70.4	25	61	0	20	0	60
19990101	80.92	73.8	87.89	65	56.64	69.5	53.29	80	88	33.69	49.22	37.75	46.5	50.19	75	0	21	0	0	170
20000101	72.15	101.25	98.06	52	40.71	33.48	43.49	106.25	48.5	42.5	36.75	43.67	60.71	45.18	0	0	12.8	30	32.5	57
20010101	74.67	93.33	103.22	77.5	47.8	56.97	43.58	84	88.38	22.2	32.5	45.95	83	46	68	0	52.5	107	45.33	35
20020101	77.32	75.67	75.89	43.5	46.18	61.03	39.46	66.5	76.75	26.68	50.67	31.54	66.58	53.67	75.75	70	45	40	29	0
20030101	80.48	87	81.06	10.75	45.33	43.84	38.03	46	70	23.98	25.6	37	108.33	44.26	73	79	0	0	0	22
20040101	76.04	90.67	99.89	61.75	48.21	52.18	37.78	67.5	99.6	29.44	47.02	36.27	63.1	45.46	17.5	12.8	70	0	26	0
20050101	80.48	75	97.86	48.2	50.58	51	41.45	89.88	101.57	20.06	30.7	39.86	75.5	53.38	46.67	75	40	53.5	25	0
20060101	98.53	70.7	112.91	30.45	46.75	65.1	38.11	81.25	94.14	21.57	42.09	32.17	47.9	55.63	38.2	36	0	41	15.5	0
20070101	110	133.75	113.42	41.42	53.34	43.48	40.17	76.71	110.45	35	23.58	35.81	91	48.64	16	0	56.67	13	20	0
20080101	95.9	120	108.14	25.1	47.36	57.4	46.72	86.45	94.67	13.56	45	44.42	81.86	48.67	71.28	31.67	52	91	19	0
20090101	94.78	93.89	114.08	56.33	53.73	54.1	52.06	82.89	83.17	22.02	63.75	36.5	141.67	44.82	70	50.5	0	29	0	0
20100101	92.19	152.71	116.9	24.5	76.14	45.72	41.63	145.83	98.3	30.53	56	42.07	77.83	38.47	15	25	55	25	30	20
20110101	89.09	112.3	105.93	32	55.64	52.77	39.82	83.8	83.44	25.9	48.09	41.48	88	43.29	37.67	80	10.92	37.5	17.46	0
20120101	100.56	104.4	131.38	54.75	56.89	44.02	41.56	72.2	128.25	40.9	43.93	24.48	105.5	45.56	49.83	38.5	68	0	25	100
20130101	99.8	92.6	131.24	37.28	54.53	54.24	41	118	139.27	29.4	64.25	50.75	94.38	45.04	12.75	0	0	40	20	215
20140101	65.5	145	145	0	145	66	66	0	65	0	0	0	65	0	0	0	0	0	0	0