tiredness	win_3m	win_1m	win_2w
0	0.352380952380952	0.406633906633907	0.476646706586826
0.01	0.352380952380952	0.406633906633907	0.476646706586826
0.02	0.352380952380952	0.406633906633907	0.476646706586826
0.03	0.35126582278481	0.406633906633907	0.476646706586826
0.04	0.35126582278481	0.406633906633907	0.476646706586826
0.05	0.35126582278481	0.406633906633907	0.476646706586826
0.06	0.35126582278481	0.406633906633907	0.476646706586826
0.07	0.367647058823529	0.426980198019802	0.476646706586826
0.08	0.367647058823529	0.426980198019802	0.476646706586826
0.09	0.367647058823529	0.426980198019802	0.476646706586826
0.1	0.411111111111111	0.426980198019802	0.476646706586826
0.11	0.411111111111111	0.426980198019802	0.482269503546099
0.12	0.411111111111111	0.426980198019802	0.482269503546099
0.13	0.411111111111111	0.426980198019802	0.482269503546099
0.14	0.389891696750903	0.457297297297297	0.482269503546099
0.15	0.389891696750903	0.457297297297297	0.482269503546099
0.16	0.389891696750903	0.457297297297297	0.482269503546099
0.17	0.433098591549296	0.457297297297297	0.482269503546099
0.18	0.433098591549296	0.457297297297297	0.482269503546099
0.19	0.433098591549296	0.457297297297297	0.482269503546099
0.2	0.433098591549296	0.457297297297297	0.482269503546099
0.21	0.472324723247232	0.490690032858708	0.482269503546099
0.22	0.472324723247232	0.490690032858708	0.495063469675599
0.23	0.472324723247232	0.490690032858708	0.495063469675599
0.24	0.486754966887417	0.490690032858708	0.495063469675599
0.25	0.486754966887417	0.490690032858708	0.495063469675599
0.26	0.486754966887417	0.490690032858708	0.495063469675599
0.27	0.486754966887417	0.490690032858708	0.495063469675599
0.28	0.502717391304348	0.490690032858708	0.495063469675599
0.29	0.502717391304348	0.522502744237102	0.495063469675599
0.3	0.502717391304348	0.522502744237102	0.495063469675599
0.31	0.461111111111111	0.522502744237102	0.495063469675599
0.32	0.461111111111111	0.522502744237102	0.495063469675599
0.33	0.461111111111111	0.522502744237102	0.515768056968464
0.34	0.452380952380952	0.522502744237102	0.515768056968464
0.35	0.452380952380952	0.522502744237102	0.515768056968464
0.36	0.452380952380952	0.537906137184116	0.515768056968464
0.37	0.452380952380952	0.537906137184116	0.515768056968464
0.38	0.498644986449864	0.537906137184116	0.515768056968464
0.39	0.498644986449864	0.537906137184116	0.515768056968464
0.4	0.498644986449864	0.537906137184116	0.515768056968464
0.41	0.498644986449864	0.537906137184116	0.515768056968464
0.42	0.498644986449864	0.537906137184116	0.515768056968464
0.43	0.498644986449864	0.533333333333333	0.515768056968464
0.44	0.498644986449864	0.533333333333333	0.541666666666667
0.45	0.511494252873563	0.533333333333333	0.541666666666667
0.46	0.511494252873563	0.533333333333333	0.541666666666667
0.47	0.511494252873563	0.533333333333333	0.541666666666667
0.48	0.622107969151671	0.533333333333333	0.541666666666667
0.49	0.622107969151671	0.533333333333333	0.541666666666667
0.5	0.622107969151671	0.556277056277056	0.541666666666667
0.51	0.622107969151671	0.556277056277056	0.541666666666667
0.52	0.568238213399504	0.556277056277056	0.541666666666667
0.53	0.568238213399504	0.556277056277056	0.541666666666667
0.54	0.568238213399504	0.556277056277056	0.541666666666667
0.55	0.56	0.556277056277056	0.541666666666667
0.56	0.56	0.556277056277056	0.50990099009901
0.57	0.56	0.556277056277056	0.50990099009901
0.58	0.56	0.556277056277056	0.50990099009901
0.59	0.615894039735099	0.556277056277056	0.50990099009901
0.6	0.615894039735099	0.556277056277056	0.50990099009901
0.61	0.615894039735099	0.556277056277056	0.50990099009901
0.62	0.549618320610687	0.556277056277056	0.50990099009901
0.63	0.549618320610687	0.556277056277056	0.50990099009901
0.64	0.549618320610687	0.5625	0.50990099009901
0.65	0.549618320610687	0.5625	0.50990099009901
0.66	0.637614678899083	0.5625	0.50990099009901
0.67	0.637614678899083	0.5625	0.584795321637427
0.68	0.637614678899083	0.5625	0.584795321637427
0.69	0.637614678899083	0.5625	0.584795321637427
0.7	0.637614678899083	0.5625	0.584795321637427
0.71	0.637614678899083	0.619402985074627	0.584795321637427
0.72	0.637037037037037	0.619402985074627	0.584795321637427
0.73	0.637037037037037	0.619402985074627	0.584795321637427
0.74	0.637037037037037	0.619402985074627	0.584795321637427
0.75	0.637037037037037	0.619402985074627	0.584795321637427
0.76	0.72972972972973	0.619402985074627	0.584795321637427
0.77	0.72972972972973	0.619402985074627	0.584795321637427
0.78	0.72972972972973	0.619402985074627	0.578947368421053
0.79	0.588888888888889	0.637362637362637	0.578947368421053
0.8	0.588888888888889	0.637362637362637	0.578947368421053
0.81	0.588888888888889	0.637362637362637	0.578947368421053
0.82	0.588888888888889	0.637362637362637	0.578947368421053
0.83	0.588888888888889	0.637362637362637	0.578947368421053
0.84	0.588888888888889	0.637362637362637	0.578947368421053
0.85	0.588888888888889	0.637362637362637	0.578947368421053
0.86	0.694444444444444	0.696428571428571	0.578947368421053
0.87	0.694444444444444	0.696428571428571	0.578947368421053
0.88	0.694444444444444	0.696428571428571	0.578947368421053
0.89	0.694444444444444	0.696428571428571	0.547619047619048
0.9	0.357142857142857	0.696428571428571	0.547619047619048
0.91	0.357142857142857	0.696428571428571	0.547619047619048
0.92	0.357142857142857	0.696428571428571	0.547619047619048
0.93	0.4	0.666666666666667	0.547619047619048
0.94	0.4	0.666666666666667	0.547619047619048
0.95	0.4	0.666666666666667	0.547619047619048
0.96	0.4	0.666666666666667	0.547619047619048
0.97	0.4	0.666666666666667	0.547619047619048
0.98	0.4	0.666666666666667	0.547619047619048
0.99	0.4	0.666666666666667	0.547619047619048
1	0.727272727272727	0.764705882352941	0.68